127.0.0.1 - - [25/Jul/2022:09:40:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:40:23 +0900] "GET /html/css/start.html HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:42:01 +0900] "GET /html/css/start.html HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:42:38 +0900] "GET /html/css/start.html HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:44:22 +0900] "GET /html/css/start.html HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:44:35 +0900] "GET /html/css/start.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:44:42 +0900] "GET /html/css/start.html HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:44:51 +0900] "GET /html/css/start.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:45:10 +0900] "GET /html/css/start.html HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:45:19 +0900] "GET /html/css/start.html HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:51:43 +0900] "GET /html/css/start.html HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:51:44 +0900] "GET /html/css/start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:51:44 +0900] "GET /html/css/start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:52:27 +0900] "GET /html/css/start.html HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:52:28 +0900] "GET /html/css/start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:52:29 +0900] "GET /html/css/start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:52:39 +0900] "GET /html/css/start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2022:09:52:40 +0900] "GET /html/css/start.html HTTP/1.1" 304 -
